Image,Component,Origin,License,Distributed by you?,Comments
scenescape-manager,jupyter_core==5.8.1,pypi,BSD-3-Clause,Y,indirect dependency. auto installed
scenescape-manager,jupyterlab_widgets==3.0.15,pypi,BSD-3-Clause,Y,indirect dependency. auto installed
scenescape-manager,lxml==6.0.0,pypi,BSD-3-Clause,Y,indirect dependency. auto installed
scenescape-manager,MarkupSafe==3.0.2,pypi,BSD-3-Clause,Y,indirect dependency. auto installed
scenescape-manager,nbformat==5.10.4,pypi,BSD-3-Clause,Y,indirect dependency. auto installed
scenescape-manager,nest-asyncio==1.6.0,pypi,BSD-3-Clause,Y,indirect dependency. auto installed
scenescape-manager,numpy==1.26.4,pypi,BSD-3-Clause,Y,imported
scenescape-manager,oauthlib==3.3.1,pypi,BSD-3-Clause,Y,indirect dependency. auto installed
scenescape-manager,pandas==2.3.1,pypi,BSD-3-Clause,Y,indirect dependency. auto installed
scenescape-manager,prompt_toolkit==3.0.51,pypi,BSD-3-Clause,Y,indirect dependency. auto installed
